country,threshold,driver,year,tc_loss_ha
Australia,30,Hard commodities,2024,1638
Australia,30,Logging,2024,35311
Australia,30,Other natural disturbances,2024,720
Australia,30,Permanent agriculture,2024,5127
Australia,30,Settlements & Infrastructure,2024,1640
Australia,30,Shifting cultivation,2024,8
Australia,30,Wildfire,2024,136075
Australia,30,Hard commodities,2025,1433
Australia,30,Logging,2025,29757
Australia,30,Other natural disturbances,2025,1036
Australia,30,Permanent agriculture,2025,4744
Australia,30,Settlements & Infrastructure,2025,1474
Australia,30,Shifting cultivation,2025,7
Australia,30,Wildfire,2025,345455
